,spotify_id,daily_rank,popularity,is_explicit,duration_ms,album_name,album_release_date,time_signature,rank,artists_num,artist_individual,artist_id,artist_genre,album_num_tracks,weeks_on_chart,duration,region,language,track_name,artist_names,country,loudness,tempo,artist_count_df1,bpm_df1,artist_count_df2,streams,bpm_df2,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,has_lyrics,lyrics_url,scraped,primary_artist,feat_artist,lyric_url,is_english,is_english_lyrics,overall_sentiments,overall_emotions,topics,overall_topics
2709,4x7O0ZgkDIa9a8kkSLvith,47.0,19.0,1.0,154320.0,Stikk I Brystet,2024-04-26,4.0,,,,,,,,,,,King Of The Hill (feat. Roc Boyz),"Amara, Roc Boyz",NO,-5.297,137.943,,,,,,2,1,0.735,0.349,0.771,0.0202,0.00222,0.118,0.0712,,False,,False,,,,1,1,,,,
2710,7a53HqqArd4b9NF4XAmlbI,,,,,,,,99.0,1.0,Ava Max,spotify:artist:4npEfmQ6YuiwW1GpUmaq3F,pop,16.0,35.0,162399.0,North America,English,Kings & Queens,Ava Max,Canada,-4.057,129.857,,,,273278.0,,1,0,0.637,0.457,0.69,0.0078599999999999,0.0,0.124,0.0405,"March 12, 2020",True,,True,Ava Max,,https://genius.com/Ava-max-kings-and-queens-lyrics,1,1,positive sentiment,emotion is joy,"['song about happiness and celebration', 'song about ambition and success', 'song about ambition and success', 'song about happiness and celebration', 'song about ambition and success', 'song about personal growth', 'song about happiness and celebration', 'song about nature and the environment', 'song about happiness and celebration', 'song about loss and grief']",song about happiness and celebration
2711,2ihC2xsLpIMpd4JDEGUovU,42.0,0.0,0.0,160609.0,Kiss Me Better,2024-02-23,4.0,,,,,,,,,,,Kiss Me Better,Julie Bergan,NO,-3.757,135.97,,,,,,6,0,0.574,0.439,0.877,0.0128,0.00172,0.0676,0.0307,"February 23, 2024",True,,True,Julie Bergan,,https://genius.com/Julie-bergan-kiss-me-better-lyrics,1,1,positive sentiment,emotion is sadness,"['song about love', 'song about loss and grief', 'song about loss and grief', 'song about loss and grief', 'song about personal growth', 'song about personal growth', 'song about loss and grief', 'song about loss and grief', 'song about personal growth', 'song about love']",song about loss and grief
2712,3DarAbFujv6eYNliUTyqtz,25.0,80.0,1.0,208666.0,Planet Her,2021-06-25,4.0,2.0,2.0,Doja Cat,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,pop,14.0,12.0,208667.0,Oceania,English,Kiss Me More (feat. SZA),"Doja Cat, SZA",LV,-3.463,110.97,,,,1456113.0,,8,1,0.764,0.781,0.705,0.259,8.92e-05,0.12,0.0284,,False,,False,,,,1,1,,,,
2713,,,,,,,,,,,,,,,,,,,Kiss Me More (feat. SZA),"SZA, Doja Cat",,,,2.0,111.0,2.0,1575467011.0,111.0,G#,Major,77.0,74.0,66.0,30.0,0.0,13.0,3.0,,False,,False,,,,1,1,,,,
2714,4fXmBERnR3SDk053aqQqwa,50.0,59.0,0.0,161967.0,Requiem (Bonus Edition),2024-09-20,4.0,,,,,,,,,,,Kiss Me Right,keshi,SG,-4.278,69.728,,,,,,6,0,0.332,0.558,0.812,0.0727,3.93e-06,0.289,0.0893,"September 20, 2024",True,,True,â€‹keshi,,https://genius.com/Keshi-kiss-me-right-lyrics,1,1,negative sentiment,emotion is optimism,"['song about loss and grief', 'song about loss and grief', 'song about friendship', 'song about social issues', 'song about loss and grief', 'song about loss and grief', 'song about loss and grief', 'song about social issues', 'song about love', 'song about love']",song about loss and grief
2715,34YxYcGtsAzI1K0SNAWMn1,32.0,77.0,1.0,207400.0,HOTEL MONTANA,2023-09-01,4.0,,,,,,,,,,,Kiss You (F**k You) [feat. Geolier],"Yung Snapp, Geolier",IT,-7.104,104.021,,,,,,2,1,0.774,0.217,0.572,0.201,3.78e-06,0.127,0.0586,,False,,False,,,,1,1,,,,
2716,1bJRd2ey6ER7neSxZwYdAG,32.0,84.0,0.0,138246.0,Kisses (feat. bbyclose),2024-03-22,4.0,,,,,,,,,,,Kisses (feat. bbyclose),"BL3SS, CamrinWatsin, bbyclose",EE,-4.609,142.002,,,,,,9,0,0.793,0.687,0.779,0.279,0.000311,0.314,0.0581,,False,,False,,,,1,1,,,,
2717,46ofwvDbks8GpQoLxGVD0o,47.0,71.0,0.0,248013.0,"Kissik (From ""Pushpa 2 The Rule"") [TELUGU]",2024-11-24,4.0,,,,,,,,,,,"Kissik (From ""Pushpa 2 The Rule"") [TELUGU]","Sublahshini, Devi Sri Prasad, Chandra Bose",IN,-6.341,132.012,,,,,,2,1,0.874,0.727,0.831,0.321,0.292,0.0543,0.114,,False,,False,,,,1,1,,,,
2718,7diD1MucbcRUVjS6AA9ehm,47.0,74.0,1.0,163383.0,Kitchen Stove,2024-02-23,4.0,,,,,,,,,,,Kitchen Stove,Pozer,GB,-9.98,129.983,,,,,,2,1,0.896,0.449,0.698,0.0602,0.0,0.11,0.306,"February 24, 2024",True,,True,Pozer,,https://genius.com/Pozer-kitchen-stove-lyrics,1,1,negative sentiment,emotion is anger,"['song about friendship', 'song about nature and the environment', 'song about ambition and success', 'song about personal growth', 'song about personal growth', 'song about social issues']",song about personal growth
2719,2QPzE5oC5XhHBTeJZPtAcC,2.0,18.0,0.0,120006.0,Louder Than Roots,2023-06-21,4.0,,,,,,,,,,,Kiwis and Oranges,LO-FI ROOTS,EE,-14.736,160.188,,,,,,6,0,0.651,0.647,0.284,0.901,0.933,0.107,0.0461,,False,,False,,,,1,1,,,,
2720,2BcMwX1MPV6ZHP4tUT9uq6,,,,,,,,2.0,3.0,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,rap,21.0,2.0,242966.0,North America,English,Knife Talk (with 21 Savage ft. Project Pat),"Drake, 21 Savage, Project Pat",United States,-9.579,145.887,,,,10994213.0,,5,0,0.849,0.153,0.424,0.0635,0.0,0.0834,0.324,"September 3, 2021",True,,True,Drake,,https://genius.com/Drake-knife-talk-lyrics,1,1,negative sentiment,emotion is anger,"['song about social issues', 'song about social issues', 'song about social issues', 'song about ambition and success', 'song about loss and grief', 'song about ambition and success', 'song about social issues', 'song about social issues']",song about social issues
2721,,,,,,,,,,,,,,,,,,,Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",,,,3.0,146.0,3.0,594482982.0,146.0,F,Minor,85.0,22.0,37.0,13.0,0.0,7.0,30.0,,False,,False,,,,1,1,,,,
2722,6aHoPULNO7pSL2ZfUY0bU8,,,,,,,,134.0,1.0,SoFaygo,spotify:artist:2SJhf6rTOU53g8yBdAjPby,glitchcore,7.0,8.0,139729.0,North America,English,Knock Knock,SoFaygo,United States,-6.032,125.935,,,,1644137.0,,1,0,0.669,0.682999999999999,0.629,0.0485,0.0,0.346,0.0657,"August 4, 2019",True,,True,SoFaygo,,https://genius.com/Sofaygo-knock-knock-lyrics,1,1,negative sentiment,emotion is anger,"['song about love', 'song about social issues', 'song about loss and grief', 'song about ambition and success', 'song about social issues', 'song about loss and grief']",song about social issues
2723,4EmzSqaqpv663TP3VvqCa9,,,,,,,,34.0,2.0,Tion Wayne,spotify:artist:7b79bQFziJFedJb75k6hFt,london rap,1.0,1.0,180198.0,Europe,English,Knock Knock,"Tion Wayne, M24",United Kingdom,-8.559,140.035,,,,873933.0,,1,1,0.810999999999999,0.795999999999999,0.539,0.593,4.66e-05,0.115999999999999,0.37,"January 17, 2022",True,,True,Tion Wayne,M24,https://genius.com/Tion-wayne-and-m24-knock-knock-lyrics,1,1,negative sentiment,emotion is fear,"['song about friendship', 'song about friendship', 'song about ambition and success', 'song about friendship', 'song about social issues', 'song about friendship', 'song about social issues', 'song about friendship', 'song about social issues']",song about friendship
